danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names,cluster
0.513,0.868,-5.061,0.041,0.0185,0.0,0.121,0.367,92.009,1VU8t2MpJRLG5iFEIxqq7z,230467,Geboren um zu leben,2
0.646,0.359,-10.388,0.155,0.247,0.914,0.0872,0.154,119.885,4YRvb9B8cgvhst11qk8CKn,360147,Sonnentanz,3
0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,7qiZfU4dY1lWllzX7mPBI3,233713,Shape of You,1
0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,0E9ZjEAyAwOXZ7wJC0PD33,184560,In My Mind,2
0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,4OSBTYWVwsQhGLF9NHvIbR,228093,Rolling in the Deep,2
0.655,0.797,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,6habFhsOp2NvshLv26DqMb,229360,Despacito,2
0.591,0.176,-11.692,0.0396,0.638,4.81e-06,0.252,0.296,152.122,1f1wT6Q7Buxb3OD0BqMW8O,299147,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",1
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560,All of Me,1
0.577,0.385,-6.362,0.03,0.371,0.0,0.231,0.331,95.82,2VxeLyX666F8uXCJ0dZF8B,215733,Shallow,2
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,Perfect,1
0.659,0.873,-5.349,0.1,0.0435,0.0,0.379,0.621,106.017,1ZMODMeLK5x6W8r8jsmmgX,202320,Au Revoir (feat. Sido),2
0.63,0.886,-4.615,0.0406,0.011,0.0,0.0697,0.897,127.96,6dXt4t5jgySnVTeTpT4C0l,240600,Auf uns,1
0.67,0.696,-4.935,0.0294,0.0857,8.09e-05,0.0939,0.312,97.021,2lYsCjTvXIHOqT8xSbK2jq,268427,Tage wie diese,1
0.729,0.542,-7.671,0.0844,0.0262,5.22e-06,0.211,0.52,127.995,0lKyMPBRuIDCX56NORu5NZ,210573,Die immer lacht - Radio 2016 Mix,2
0.639,0.614,-9.448,0.0317,0.0681,0.0878,0.0882,0.652,121.973,7bolFIVYrui4h98GEK0MIK,210333,Geiles Leben,2
0.575,0.664,-5.303,0.0481,0.637,0.0,0.116,0.437,129.071,3dYD57lRAUcMHufyqn9GcI,241688,Take Me To Church,1
0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,60nZcImufyMA1MKQY3dcCH,232720,"Happy - From ""Despicable Me 2""",2
0.862,0.671,-6.576,0.0995,0.258,0.00274,0.0744,0.82,115.952,7DFSnCBYlus7i4U9KKlbdU,237053,No Roots,1
0.793,0.688,-4.216,0.0328,0.079,0.0604,0.145,0.221,120.058,2IxixfQUSQkwCCblJT3Eq1,242773,Heavy Cross,1
0.782,0.685,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.02,7vFoFDWqTX0mHzLfrF1Cfy,180566,Cheerleader (Felix Jaehn Remix) - Radio Edit,2
0.764,0.887,-6.088,0.176,0.00987,0.0,0.0585,0.816,126.974,2RB1n3NWUmG5X0rdihAQ3e,202467,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2
0.763,0.608,-8.1,0.035,0.262,2.5e-05,0.12,0.394,121.02,4255amV4enzl28KAn16rUO,138013,Are You with Me,0
0.792,0.329,-12.906,0.0593,0.6,0.857,0.193,0.526,127.02,3ZSqMer9RLSglvi18bWXYV,230500,Sky and Sand,2
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,1HNkqx9Ahdgi1Ixy2xkKkL,258987,Photograph,1
0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307,Havana (feat. Young Thug),2
0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,247427,Wake Me Up,1
0.599,0.533,-14.032,0.0472,0.475,0.00153,0.235,0.607,122.262,3WlVUkLgGYByiGj8gF4erq,228467,I Follow Rivers,2
0.749,0.589,-5.032,0.26,0.0279,0.000217,0.0396,0.814,128.003,2CbuG4ib5Wg5q8AEhVgll7,191091,Ma Chérie - DJ Antoine Vs Mad Mark 2K12 Radio Edit,2
0.604,0.822,-4.833,0.0438,0.00672,0.134,0.147,0.288,167.997,1zB4vmk8tFRmM9UULNzbLB,187147,Thunder,2
0.763,0.875,-5.797,0.0262,0.024,5.41e-06,0.599,0.8,123.013,5fnA9mkIfScSqHIpeDyvck,189413,Prayer in C - Robin Schulz Radio Edit,2
0.707,0.87,-3.617,0.0669,0.0593,0.0,0.205,0.809,125.956,4icNLSquKZp6e0iEkBn9RP,229933,Glow - Radio Edit,2
0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,3di5hcvxxciiqwMH1jarhY,242974,Set Fire to the Rain,1
0.322,0.28,-9.367,0.0281,0.468,1.1e-06,0.102,0.175,85.794,0eZBeB2xFIS65jQHerispi,248467,The Sound of Silence,1
0.78,0.568,-6.96,0.031,0.668,0.000168,0.0698,0.459,117.973,3c8iiZGfEammKJuWTErE5x,186147,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),2
