song_id,song_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2btNsI4OvcVl7SAHQQDHFB,Mirame,0.717,0.656,-4.449,0.0797,0.141,2.96e-05,0.0661,0.695,175.956,157453
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,0.924,0.668,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027,195824
7bywjHOc0wSjGGbj04XbVi,LUNA,0.774,0.86,-2.888,0.13,0.131,0.0,0.116,0.446,100.019,196800
5QjmUqgpPQgXgg4606DqZF,UWAIE,0.705,0.783,-4.783,0.0403,0.138,0.0,0.0984,0.454,103.001,172427
13BDiikG6y5o5cQTK0HpW6,Soltera - W Sound 01,0.734,0.578,-4.147,0.295,0.155,0.000242,0.113,0.88,199.997,142022
08pbRBstuvH7ArRxeb8fwT,Hasta Aquí Llegué,0.641,0.657,-8.338,0.218,0.538,0.0,0.106,0.411,100.016,188887
2gmd7lY3QSzLh0xIY4cRvi,SE ME OLVIDA,0.786,0.707,-4.386,0.0635,0.0399,0.0,0.121,0.691,82.045,225373
281YJmnThveWjsWVic9Ym6,Las Piponas (Remix),0.73,0.587,-4.978,0.083,0.0223,0.0,0.14,0.109,119.656,244000
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,0.56,0.681,-6.304,0.244,0.103,0.0,0.106,0.388,155.079,223320
63pLfjK6FvcYJYMGwtHjd6,SORRY 4 THAT MUCH,0.819,0.675,-4.281,0.0727,0.0318,0.0,0.289,0.602,92.99,207747
1fTjqf10accJCDYstPwwZ6,Ohnana,0.775,0.581,-3.621,0.108,0.617,8.33e-06,0.0957,0.658,104.977,156577
3OJDtCdYs8QJnui708tEU3,Soltera,0.841,0.752,-4.735,0.105,0.167,0.00046,0.949,0.67,100.076,214643
4DAMvNqHt0s8zJr6JwOoye,MLP,0.806,0.746,-5.36,0.0496,0.358,0.0,0.398,0.78,102.443,148976
4bw8mcDUSRWfQo63ZTYRnU,Según Quién,0.909,0.762,-3.974,0.0643,0.434,0.0,0.0856,0.843,101.987,142335
3JQxqYDoKdIYuFxe9Yz3Of,BABY FACHA,0.815,0.715,-3.981,0.129,0.0718,0.0,0.197,0.432,179.988,160792
5pVJ3IlnpIorU44oXizzG5,Orion,0.857,0.705,-4.775,0.183,0.322,0.00249,0.197,0.874,105.011,240964
6a9Z1jUms915w4O7N1PxjY,Santa,0.725,0.709,-5.017,0.129,0.321,0.000189,0.114,0.648,99.993,193039
57pj5sOWSCAqZm088LMcE4,Oe Bebé,0.751,0.739,-3.649,0.0789,0.133,0.0,0.141,0.795,94.065,186464
2llFXBrftm6YJzBj3tpk0s,Doblexxó,0.787,0.775,-4.607,0.0699,0.0373,0.0,0.116,0.826,99.008,176720
505v13epFXodT9fVAJ6h8k,AMARGURA,0.912,0.7,-3.331,0.068,0.163,0.0,0.174,0.535,106.981,170480
60u6hcpH5Qm1M3xESdNBrB,Frente al Mar,0.75,0.682,-3.825,0.0945,0.168,1.28e-06,0.112,0.618,100.036,165178
7chTH3GBjjAyagf0SPCZDL,SI SABE FERXXO,0.726,0.831,-2.035,0.12,0.0139,3.71e-06,0.0891,0.489,95.997,152500
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,0.911,0.778,-2.248,0.262,0.0887,2.16e-05,0.179,0.345,96.057,162768
0rNqDh9zWWJVTLS4VfceHP,Brickell,0.805,0.89,-1.502,0.0634,0.0704,0.0,0.121,0.489,93.037,180360
5PDXWKryvv1SRcmSozUdTZ,TBC (KARMA),0.677,0.695,-8.404,0.381,0.136,0.0,0.669,0.176,103.848,144466
2naqSVQHgiaoEpxtkVOhmK,Llorarás,0.704,0.884,-6.275,0.0527,0.549,0.000364,0.0492,0.964,93.058,228554
5RqSsdzTNPX1uzkmlHCFvK,QLONA,0.841,0.738,-7.455,0.307,0.52,0.0,0.0892,0.484,169.918,172798
0BoLTC9I3PYefcWd7FOhUh,Chismofilia,0.827,0.871,-6.072,0.123,0.0297,1.46e-06,0.336,0.562,125.013,178609
7ExDiKtnpUtoikn2yfQd54,NECESIDAD,0.744,0.727,-5.238,0.0649,0.211,4.83e-05,0.351,0.847,155.945,155385
0i4uSrPDjfMZJf0gaa0i6D,LA CURA,0.803,0.577,-5.634,0.216,0.423,0.0,0.246,0.452,110.033,316364
2NFWEVIzLcWARyI8BzgA23,Contentoso,0.801,0.741,-5.572,0.0953,0.162,0.0,0.0584,0.652,93.98,169888
1pLCpA1RN8avJxSD3ZCwhj,Pa' Que La Pases Bien,0.897,0.755,-5.684,0.144,0.00758,0.000451,0.264,0.567,110.008,214120
2J9B63FawlTaPdg4eH5X03,Loco,0.82,0.565,-5.965,0.17,0.158,2.45e-05,0.0469,0.773,105.11,204000
6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,0.73,0.701,-5.885,0.106,0.132,0.0,0.151,0.785,175.95,207307
2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,0.865,0.573,-5.501,0.0678,0.0863,0.0,0.305,0.563,94.999,155960
3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638
0W2pF7zyj9dwZVK1RoUyjh,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),0.529,0.528,-6.704,0.0846,0.306,0.0,0.604,0.364,110.175,390545
1AddbBdKFz8wdqatGVSsYS,Es Un Secreto,0.838,0.732,-6.266,0.0432,0.114,1.49e-06,0.0682,0.525,95.011,192053
1qbql17v0Hazo94o5RUyWQ,KINTSUGI,0.373,0.464,-8.606,0.256,0.86,0.0135,0.127,0.301,79.503,237908
1JXcB149QtbcIpDUA6YZOB,Algo Que Se Quede,0.751,0.722,-4.197,0.0506,0.457,0.0,0.178,0.788,140.043,220135
3fJHbMUnzceimOnNjp63fF,Primera Cita,0.536,0.396,-7.804,0.0687,0.604,6.97e-05,0.0969,0.491,157.846,186456
3u2jlo9kygiIAq7SPVuw6S,Dile a Tu Amiga,0.794,0.576,-12.111,0.0591,0.225,0.00381,0.0854,0.914,94.993,214121
6ZCfGA0bPM50DPmcSlJKGY,HABLAME CLARO,0.81,0.487,-3.737,0.174,0.0914,0.0,0.143,0.647,199.962,154969
2plbrEY59IikOBgBGLjaoe,Die With A Smile,0.521,0.592,-7.777,0.0304,0.308,0.0,0.122,0.535,157.969,251668
54zcJnb3tp9c5OVKREZ1Is,MI EX TENÍA RAZÓN,0.634,0.725,-4.945,0.0587,0.0776,0.0,0.211,0.795,159.845,154375
4BXG52ul7GlV4Qpve6JDJo,Señal De Vida,0.722,0.68,-7.091,0.0846,0.0973,0.000293,0.58,0.713,171.968,240255
4YnmQG1fnJR9LnTZtix70T,WYA REMIX RED,0.733,0.527,-5.985,0.0486,0.364,0.0,0.0999,0.371,110.045,321742
5YJ4BVvTFmVCxUyhKejHfR,Pa' Que Retozen,0.815,0.856,-3.825,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667
1hZsWUnLbqRw09jLAMQSsb,CLASSY 101,0.858,0.665,-4.772,0.152,0.126,0.0,0.119,0.659,100.09,195587
05sO6FK8E9l2cfwnEUTjHq,CUAL ES ESA,0.916,0.481,-4.483,0.194,0.0179,0.0,0.121,0.714,95.998,172507
5G2f63n7IPVPPjfNIGih7Q,Taste,0.674,0.907,-4.086,0.064,0.101,0.0,0.297,0.721,112.964,157280
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",0.7,0.582,-5.96,0.0356,0.0502,0.0,0.0881,0.785,116.712,218424
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,0.747,0.507,-10.171,0.0358,0.2,0.0608,0.117,0.438,104.978,210373
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),0.769,0.722,-5.485,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,256000
7tI8dRuH2Yc6RuoTjxo4dU,Who,0.66,0.756,-3.743,0.032,0.00289,0.0,0.193,0.838,116.034,170888
2HRqTpkrJO5ggZyyK6NPWz,Espresso,0.699,0.776,-5.282,0.0293,0.131,5.36e-06,0.205,0.708,103.963,175459
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),0.722,0.706,-4.857,0.0292,0.072,0.0,0.067,0.599,80.969,171292
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),0.644,0.874,-4.723,0.0265,0.0113,0.0,0.227,0.753,128.017,178206
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,0.675,0.586,-6.086,0.0531,0.257,0.0,0.104,0.621,107.015,186365
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,0.742,0.757,-4.981,0.0421,0.0187,0.0,0.305,0.957,139.982,184841
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,0.739,0.727,-5.968,0.0426,0.0678,0.0,0.104,0.676,94.99,171870
2262bWmqomIaJXwCRHr13j,Sailor Song,0.494,0.413,-10.432,0.0254,0.682,6.72e-05,0.193,0.273,94.938,211979
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",0.53,0.406,-7.507,0.033,0.656,0.0,0.133,0.338,115.94,157147
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,0.898,0.472,-7.001,0.0776,0.0107,0.0,0.141,0.214,101.061,274192
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,0.472,0.471,-5.692,0.0603,0.151,0.0,0.14,0.219,105.029,180304
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,0.61,0.65,-6.199,0.0474,0.399,0.0,0.11,0.507,106.719,258035
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,0.467,0.247,-12.002,0.0431,0.612,0.000271,0.17,0.126,148.101,261467
0mflMxspEfB0VbI1kyLiAv,Stick Season,0.664,0.5,-6.935,0.0651,0.799,0.0,0.0966,0.801,117.896,182347
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),0.429,0.453,-7.746,0.0459,0.554,2e-06,0.102,0.155,77.639,227196
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),0.558,0.559,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,0.852,0.697,-5.52,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,0.525,0.488,-6.909,0.038,0.191,5.14e-05,0.135,0.253,84.999,194920
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400
102YUQbYmwdBXS7jwamI90,Good Graces,0.758,0.759,-5.315,0.0479,0.329,3.96e-06,0.144,0.732,126.012,185265
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,0.482,0.757,-4.586,0.0355,0.0137,0.0016,0.143,0.12,142.579,86984
21B4gaTWnTkuSh77iWEXdS,Juno,0.633,0.725,-4.257,0.0427,0.0461,0.0,0.205,0.64,130.504,223192
19XpFsce28aByvCC4g89tJ,Too Sweet,0.74,0.643,-5.446,0.0413,0.041,0.00229,0.0407,0.96,117.025,251424
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),0.569,0.882,-2.777,0.06,0.0316,0.0,0.142,0.201,148.038,191701
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,-9.973,0.0296,0.00877,0.00777,0.1,0.282,142.18,210950
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),0.621,0.779,-3.777,0.0361,0.216,8.62e-06,0.165,0.399,172.037,181621
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,0.657,0.82,-4.448,0.0441,0.0176,0.0,0.0847,0.709,124.041,192721
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,0.669,0.561,-6.538,0.0411,0.495,0.00962,0.0954,0.841,150.069,169698
51eSHglvG1RJXtL3qI5trr,Slow It Down,0.432,0.583,-4.682,0.0687,0.174,0.0,0.0933,0.544,181.489,161831
